C_MB,Delta0,Delta_min,L,Q_adiabatic,Q_real_time,U,charge_tolerance,chern_checkpoint,chern_grid,coarse_charge,coarse_time_steps,delta0,final_ground_state_fidelity,index,maximum_norm_error,pair_index,period,static_result,t,time_step_charge_error,time_step_refinements,time_steps
2.0000000000000004,3.0,0.23257735249282518,8,2.0000000000000004,-0.0011340100819986273,-32.0,0.005,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern10/pair_0000_U_neg32d000000_t_p0d500000_N10.npz,20,-0.0010294959678165334,40,0.9,0.9840470669183679,0,2.4424906541753444e-15,0,2.0,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/static/static_0000_U_neg32d000000_t_p0d500000.npz,0.5,0.0001045141141820939,1,80
2.0000000000000004,3.0,0.23257735249282518,8,2.0000000000000004,0.003007576557010688,-32.0,0.005,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern10/pair_0000_U_neg32d000000_t_p0d500000_N10.npz,20,0.0031156326268979083,200,0.9,0.815006531874034,1,1.9984014443252818e-15,0,10.0,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/static/static_0000_U_neg32d000000_t_p0d500000.npz,0.5,0.00010805606988722018,1,400
2.0000000000000004,3.0,0.23257735249282518,8,2.0000000000000004,0.026718147277662353,-32.0,0.005,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern10/pair_0000_U_neg32d000000_t_p0d500000_N10.npz,20,0.02683163381375992,1000,0.9,0.28501363355915516,2,1.687538997430238e-14,0,50.0,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/static/static_0000_U_neg32d000000_t_p0d500000.npz,0.5,0.00011348653609756856,1,2000
2.0000000000000004,3.0,0.3082708032234365,8,2.000000000000001,-0.001325455889657875,-24.0,0.005,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern10/pair_0001_U_neg24d000000_t_p0d500000_N10.npz,20,-0.0011957657387120532,40,0.9,0.9716487926498006,3,3.552713678800501e-15,1,2.0,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/static/static_0001_U_neg24d000000_t_p0d500000.npz,0.5,0.00012969015094582183,1,80
2.0000000000000004,3.0,0.3082708032234365,8,2.000000000000001,0.005867558143621299,-24.0,0.005,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern10/pair_0001_U_neg24d000000_t_p0d500000_N10.npz,20,0.006003775112882105,200,0.9,0.6969340607218817,4,1.865174681370263e-14,1,10.0,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/static/static_0001_U_neg24d000000_t_p0d500000.npz,0.5,0.00013621696926080593,1,400
2.0000000000000004,3.0,0.3082708032234365,8,2.000000000000001,0.055096730594860505,-24.0,0.005,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern10/pair_0001_U_neg24d000000_t_p0d500000_N10.npz,20,0.05525320721361231,1000,0.9,0.5713705471922279,5,9.08162434143378e-14,1,50.0,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/static/static_0001_U_neg24d000000_t_p0d500000.npz,0.5,0.0001564766187518024,1,2000
2.0,3.0,0.4548629269718276,8,2.0,7.542076858030707e-05,-16.0,0.005,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern10/pair_0002_U_neg16d000000_t_p0d500000_N10.npz,20,0.0002718815287672292,40,0.9,0.9251656485798451,6,8.43769498715119e-15,2,2.0,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/static/static_0002_U_neg16d000000_t_p0d500000.npz,0.5,0.00019646076018692212,1,80
2.0,3.0,0.4548629269718276,8,2.0,0.01562953126723962,-16.0,0.005,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern10/pair_0002_U_neg16d000000_t_p0d500000_N10.npz,20,0.01583618188301148,200,0.9,0.45301093786874647,7,3.730349362740526e-14,2,10.0,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/static/static_0002_U_neg16d000000_t_p0d500000.npz,0.5,0.00020665061577185978,1,400
2.0,3.0,0.4548629269718276,8,2.0,0.1485146159909379,-16.0,0.005,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/chern10/pair_0002_U_neg16d000000_t_p0d500000_N10.npz,20,0.1487855800958533,1000,0.9,0.13716485483086524,8,1.9695356456850277e-13,2,50.0,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/static/static_0002_U_neg16d000000_t_p0d500000.npz,0.5,0.00027096410491539435,1,2000
2.0,3.0,0.5933254344706711,8,2.0000000000000004,0.0012548782617582722,-12.0,0.005,/public/home/student090/quantum-pump-l8/runs/l8-ut-20260728T195000/stage10/pair_0003_U_neg12d000000_t_p0d500000_N10.npz,20,0.0015971731044153521,40,0.9,0.7327397099878787,9,7.549516567451064e-15,3,2.0,/public/home/student090/quantum-pump-l8/runs/l8-allobs-20260728T230945/static/static_0003_U_neg12d000000_t_p0d500000.npz,0.5,0.0003422948426570799,1,80
